"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"250" "P0345yo" "Different" "A" "Four-Five" 55 "N" "1000" 0.8 4 5 1.09861228866811
"251" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "100" 0.8 4 5 1.09861228866811
"252" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "200" 0.8 4 5 1.09861228866811
"253" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "300" 0.8 4 5 1.09861228866811
"254" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "400" 0.8 4 5 1.09861228866811
"255" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "500" 0.6 3 5 0.336472236621213
"256" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "600" 0.4 2 5 -0.336472236621213
"257" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "700" 0.8 4 5 1.09861228866811
"258" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "800" 0.8 4 5 1.09861228866811
"259" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "900" 1 5 5 2.39789527279837
"260" "P0345yo" "Different" "A" "Four-Five" 55 "Y" "1000" 1 5 5 2.39789527279837
"261" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "100" 0.2 1 5 -1.09861228866811
"262" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "200" 0.4 2 5 -0.336472236621213
"263" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "300" 0.4 2 5 -0.336472236621213
"264" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "400" 0.4 2 5 -0.336472236621213
"265" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "500" 0.4 2 5 -0.336472236621213
"266" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "600" 0.6 3 5 0.336472236621213
"267" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "700" 1 5 5 2.39789527279837
"268" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "800" 1 5 5 2.39789527279837
"269" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "900" 1 5 5 2.39789527279837
"270" "P0345yo" "Different" "AN" "Four-Five" 55 "N" "1000" 1 5 5 2.39789527279837
"271" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "100" 0.6 3 5 0.336472236621213
"272" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "200" 0.6 3 5 0.336472236621213
"273" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "300" 0.6 3 5 0.336472236621213
"274" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "400" 0.6 3 5 0.336472236621213
"275" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "500" 0.4 2 5 -0.336472236621213
"276" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "600" 0.6 3 5 0.336472236621213
"277" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "700" 0.8 4 5 1.09861228866811
"278" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "800" 0.8 4 5 1.09861228866811
"279" "P0345yo" "Different" "AN" "Four-Five" 55 "Y" "900" 0.8 4 5 1.09861228866811
