"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P0345yo" 40 20 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 4684.2 0 1963.3 0 84.2618025751073 0 674.2 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00148323939483833
"P0445yo" 1 7 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4626.7 0 1919.9 0 82.7543103448276 0 606.7 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00164826108455579
"P0445yo" 2 4 "Different" "A" "N" "Four-Five" 4020 "TARGET" 4683.2 0 1890.8 0 81.5 0 663.2 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00150784077201448
"P0445yo" 3 11 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4504.3 0 1953.4 0 84.198275862069 0 484.3 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00206483584555028
"P0445yo" 4 17 "Same" "AN" "N" "Four-Five" 4010 "TARGET" 4258.6 0 2063.2 0 88.549356223176 0 248.6 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00402252614641995
"P0445yo" 7 12 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 5025.7 0 2063.1 0 88.5450643776824 0 1015.7 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000984542679925175
"P0445yo" 8 19 "Same" "A" "N" "Four-Five" 4010 "TARGET" 5164.3 0 1963.5 0 84.2703862660944 0 1154.3 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000866325911808022
"P0445yo" 9 9 "Different" "AN" "N" "Four-Five" 4020 "TARGET" 5436 0 2053.5 0 88.5129310344828 0 1416 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000706214689265537
"P0445yo" 13 14 "Different" "A" "N" "Four-Five" 4020 "TARGET" 6209.9 0 2020.3 0 87.0818965517242 0 2189.9 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000456641855792502
"P0445yo" 14 18 "Different" "AN" "Y" "Four-Five" 4020 "TARGET" 4947.9 0 1953.3 0 84.1939655172414 0 927.9 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00107770233861408
